D9,F9,D10,F10,D11,F11,D12,F12,D13,F13,D14,F14,D15,F15
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,0,0,0,0,0,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,2,0,2,0,2,0,4,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0
7,0,7,0,7,0,4,0,4,0,4,0,7,0
7,0,7,0,7,0,7,0,7,0,7,0,7,0
9,0,9,0,9,0,7,0,7,0,7,0,9,0
9,0,9,0,9,0,9,0,9,0,9,0,9,0
12,0,12,0,12,0,9,0,9,0,9,0,12,0
12,0,12,0,12,0,12,0,12,0,12,0,12,0
14,0,14,0,14,0,12,0,12,0,12,0,14,0
14,0,14,0,14,0,14,0,14,0,14,0,14,0
17,0,17,0,17,0,14,0,14,0,14,0,17,0
17,0,17,0,17,0,17,0,17,0,17,0,17,0
19,0,19,0,19,0,17,0,17,0,17,0,19,0
19,0,19,0,19,0,19,0,19,0,19,0,19,0
22,0,22,0,22,0,19,0,19,0,19,0,22,0
22,0,22,0,22,0,22,0,22,0,22,0,22,0
24,0,25,0,25,0,22,0,22,0,22,0,25,0
24,0,25,0,25,0,24,0,24,0,24,0,25,0
27,0,27,0,27,0,24,0,24,0,24,0,27,0
27,0,27,0,27,0,27,0,27,0,27,0,27,0
29,0,30,0,30,0,27,1,27,1,27,0,30,0
29,0,30,0,30,0,29,1,29,1,29,0,30,0
32,0,32,0,32,0,29,1,29,1,29,0,32,0
32,0,32,0,32,0,32,1,32,1,32,0,32,0
34,0,35,0,35,0,32,1,32,1,32,0,35,0
34,0,35,0,35,0,34,1,34,1,35,0,35,0
37,0,37,0,37,0,34,1,34,1,35,0,37,0
37,0,37,0,37,0,37,1,37,1,37,0,37,0
39,0,40,0,40,0,37,1,37,1,37,0,40,0
39,0,40,0,40,0,39,1,39,1,40,0,40,0
42,0,42,0,42,0,39,1,39,1,40,0,42,0
42,0,42,0,42,0,42,1,42,1,42,0,42,0
44,0,45,0,45,0,42,1,42,1,42,0,45,0
44,0,45,0,45,0,44,1,44,1,45,0,45,0
47,0,47,0,47,0,44,1,44,1,45,0,47,0
47,0,47,0,47,0,47,1,47,1,47,0,47,0
50,0,50,0,50,0,47,1,47,1,47,0,50,0
50,0,50,0,50,0,50,1,50,1,50,0,50,0
52,0,52,0,52,0,50,1,50,1,50,0,52,0
52,0,52,0,52,0,52,1,52,1,52,0,52,0
55,0,55,0,55,0,52,1,52,1,52,0,55,0
55,0,55,0,55,0,55,1,55,1,55,0,55,0
57,0,57,0,57,0,55,1,55,1,55,0,57,0
57,0,57,0,57,0,57,1,57,1,57,0,57,0
60,0,60,0,60,0,57,1,57,1,57,0,60,0
60,0,60,0,60,0,60,1,60,1,60,0,60,0
62,0,62,0,62,0,60,1,60,1,60,0,62,0
62,1,62,0,62,0,62,1,62,1,62,0,62,0
65,1,65,0,65,0,62,1,62,1,62,0,65,0
65,1,65,0,65,0,65,1,65,1,65,0,65,0
67,1,68,0,68,0,65,1,65,1,65,1,67,0
67,1,68,0,68,0,67,1,67,1,67,1,67,0
70,1,70,0,70,0,67,1,67,1,67,1,70,0
70,1,70,0,70,0,70,1,70,1,70,1,70,0
72,1,73,0,73,0,70,1,70,1,70,1,72,0
72,1,73,0,73,0,72,1,72,1,72,1,72,0
75,1,75,0,75,0,72,1,72,1,72,1,75,0
75,1,75,0,75,0,75,1,75,1,75,1,75,0
77,1,78,0,78,0,75,1,75,1,75,1,78,0
77,1,78,0,78,0,77,1,77,1,77,1,78,0
80,1,80,0,80,0,77,1,77,1,77,1,80,0
80,1,80,0,80,0,80,1,80,1,80,1,80,0
82,1,83,0,83,0,80,1,80,1,80,1,83,0
82,1,83,0,83,0,82,1,82,1,83,1,83,0
85,1,85,0,85,0,82,1,82,1,83,1,85,0
85,1,85,0,85,0,85,1,85,1,85,1,85,0
88,1,88,0,88,0,85,1,85,1,85,1,88,0
88,1,88,0,88,0,88,1,88,1,88,1,88,0
90,1,90,0,90,0,88,1,88,1,88,1,90,0
90,1,90,0,90,0,90,1,90,1,90,1,90,0
93,1,93,0,93,0,90,1,90,1,90,1,93,0
93,1,93,0,93,0,93,1,93,1,93,1,93,0
95,1,95,0,95,0,93,1,93,1,93,1,95,0
95,1,95,0,95,0,95,1,95,1,95,1,95,0
98,1,98,0,98,0,95,1,95,1,95,1,98,0
98,1,98,0,98,0,98,1,98,1,98,1,98,0
100,1,100,0,100,0,98,1,98,1,98,1,100,0
100,1,100,0,100,0,100,1,100,1,100,1,100,0
103,1,103,0,103,0,100,1,100,1,100,1,103,0
103,1,103,0,103,0,103,1,103,1,103,1,103,0
105,1,105,0,105,0,103,1,103,1,103,1,105,0
105,1,105,0,105,0,105,1,105,1,105,1,105,0
108,1,108,0,108,0,105,1,105,1,105,1,108,0
108,1,108,0,108,0,108,1,108,1,108,1,108,0
110,1,111,0,111,0,108,1,108,1,108,1,111,0
110,1,111,0,111,0,110,1,110,1,110,1,111,0
113,1,113,0,113,0,110,2,110,2,110,1,113,0
113,1,113,0,113,0,113,2,113,2,113,1,113,0
115,1,116,0,116,0,113,2,113,2,113,1,116,0
115,1,116,0,116,0,115,2,115,2,115,1,116,0
118,1,118,0,118,0,115,2,115,2,115,1,118,0
118,1,118,0,118,0,118,2,118,2,118,1,118,0
120,1,121,0,121,0,118,2,118,2,118,1,121,0
120,1,121,0,121,0,120,2,120,2,120,1,121,0
123,1,123,0,123,0,120,2,120,2,120,2,123,0
123,1,123,0,123,0,123,2,123,2,123,2,123,0
125,1,126,0,126,0,123,2,123,2,123,2,126,0
125,2,126,0,126,0,125,2,125,2,125,2,126,0
128,2,128,0,128,0,125,2,125,2,125,2,128,0
128,2,128,0,128,0,128,2,128,2,128,2,128,0
130,2,131,0,131,0,128,2,128,2,128,2,131,0
130,2,131,0,131,0,130,2,130,2,131,2,131,0
133,2,133,0,133,0,130,2,130,2,131,2,133,0
133,2,133,0,133,0,133,2,133,2,133,2,133,0
136,2,136,0,136,0,133,2,133,2,133,2,136,0
136,2,136,0,136,0,136,2,136,2,136,2,136,0
138,2,138,0,138,0,136,2,136,2,136,2,138,0
138,2,138,0,138,0,138,2,138,2,138,2,138,0
141,2,141,0,141,0,138,2,138,2,138,2,141,0
