1D,1F,2D,2F,3D,3F,4D,4F,5D,5F,6D,6F,7D,7F,8D,8F
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,2,0,2,0,2,0,2,0,2,0,2,0
4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
7,0,7,0,4,0,4,0,4,0,4,0,4,0,4,0
7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
10,0,9,0,7,0,7,0,7,0,7,0,7,0,7,0
10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
12,0,12,0,9,0,9,0,9,0,9,0,9,0,9,0
12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
15,0,15,0,12,0,12,0,12,0,12,0,12,0,12,0
15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,0
17,0,17,0,14,0,14,0,14,0,14,0,14,0,14,0
17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0
20,0,20,0,17,0,17,0,17,0,17,0,17,0,17,0
20,0,20,0,19,0,19,0,19,0,19,0,19,0,19,0
22,0,22,0,19,0,19,0,19,0,19,0,19,0,19,0
22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
25,0,25,0,22,0,22,0,22,0,22,0,22,0,22,0
25,0,25,0,24,0,24,0,25,0,25,0,24,0,25,0
27,0,27,0,24,0,24,0,25,0,25,0,24,0,25,0
27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
30,0,30,0,27,0,27,0,27,0,27,0,27,0,27,0
30,0,30,0,30,0,29,0,30,0,30,0,30,0,30,0
32,0,32,0,30,0,29,0,30,0,30,0,30,0,30,0
32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0
35,0,35,0,32,0,32,0,32,0,32,0,32,0,32,0
35,0,35,0,35,0,34,0,35,0,35,0,35,0,35,0
37,0,37,0,35,0,34,0,35,0,35,0,35,0,35,0
37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0
40,0,40,0,37,0,37,0,37,0,37,0,37,0,37,0
40,0,40,0,40,0,39,0,40,0,40,0,40,0,40,0
42,0,42,0,40,0,39,0,40,0,40,0,40,0,40,0
42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0
45,0,45,0,42,0,42,0,42,0,42,0,42,0,42,0
45,0,45,0,45,0,44,0,45,0,45,0,45,0,45,0
47,0,47,0,45,0,44,0,45,0,45,0,45,0,45,0
47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0
50,0,50,0,47,0,47,0,47,0,47,0,47,0,47,0
50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0
52,0,52,0,50,0,50,0,50,0,50,0,50,0,50,0
52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0
55,0,55,0,52,0,52,0,52,0,52,0,52,0,52,0
55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0
58,0,58,0,55,0,55,0,55,0,55,0,55,0,55,0
58,0,58,0,57,0,57,0,57,0,57,0,57,0,57,0
